#,Season,Name,Team,ERA,FIP,GB%,WAR,xFIP,WPA,K%,BB%,K-BB%,xERA
71,2006,Jered Weaver,LAA,2.56,3.9,30.30%,2.5,4.37,2.66,21.40%,6.70%,14.70%,
72,2006,Joe Saunders,LAA,4.71,4.08,47.90%,1,4.37,0.62,16.90%,9.60%,7.30%,
73,2006,Scott Olsen,FLA,4.04,4.33,44.80%,2.5,4.1,0.58,21.80%,9.90%,12.00%,
74,2006,Jason Hammel,TBD,7.77,5.26,43.50%,0.3,5.05,-1.51,15.40%,10.10%,5.30%,
75,2006,Josh Johnson,FLA,3.03,3.92,45.70%,2.6,4.16,1.65,20.20%,9.70%,10.50%,
76,2006,Matt Cain,SFG,4.2,3.98,35.60%,3.7,4.6,0.88,21.90%,10.70%,11.20%,
77,2006,Scott Mathieson,PHI,8.27,5.96,37.30%,0,5.03,-1.54,15.90%,10.20%,5.70%,
78,2006,Rich Hill,CHC,4.25,4.76,29.70%,1.2,4.65,0.18,21.20%,9.50%,11.70%,
79,2006,Chuck James,ATL,3.93,5.08,27.80%,0.8,5.09,1.41,18.50%,9.10%,9.30%,
80,2006,Jon Lester,BOS,4.76,4.56,40.60%,1,5.1,0.2,16.30%,11.70%,4.60%,
81,2006,Cole Hamels,PHI,4.08,3.98,38.90%,2.6,3.73,0.96,26.00%,8.60%,17.40%,
82,2006,Brian Bannister,NYM,3.44,5.18,43.10%,0.3,6.02,0.48,11.90%,13.20%,-1.30%,
83,2006,Chad Billingsley,LAD,3.34,4.87,49.20%,0.7,5.32,0.59,15.20%,14.40%,0.80%,
84,2006,Jeff Karstens,NYY,4.17,5.38,34.30%,0.1,5.83,0.31,8.20%,5.70%,2.50%,
85,2006,Sean Marshall,CHC,5.59,5.57,46.80%,0.4,5.13,-0.33,13.70%,10.50%,3.20%,
86,2006,Shaun Marcum,TOR,4.72,5.43,36.90%,0.3,5,0.04,17.70%,9.20%,8.50%,
87,2006,Tom Gorzelanny,PIT,3.79,4.18,49.20%,1,4.92,0.32,15.00%,11.60%,3.40%,
88,2006,Jason Hirsh,HOU,6.04,6.73,30.10%,-0.2,5.92,-0.49,14.10%,10.70%,3.40%,
89,2006,Michael O'Connor,WSN,4.81,5.28,36.40%,0.5,5.55,-0.61,13.10%,10.00%,3.10%,
90,2006,James Shields,TBD,4.84,4.39,42.70%,1.7,3.99,-0.83,19.30%,7.00%,12.20%,
91,2006,Anthony Reyes,STL,5.06,5.49,34.30%,0.2,4.8,0.01,19.50%,9.20%,10.30%,
92,2006,Casey Janssen,TOR,5.22,4.82,52.90%,0.9,4.64,-0.67,10.70%,5.40%,5.40%,
