"Season","Name","PA","Team","WAR","pythW","pythL","WARSHARE"
2011,"Dustin Pedroia",731,"BOS",7.9,94,68,0.0840425531914894
2008,"Derrek Lee",698,"CHC",2.4,98,63,0.0244897959183673
2023,"Spencer Torkelson",684,"DET",1.5,73,89,0.0205479452054795
2006,"Miguel Cabrera",676,"MIA",6.3,80,82,0.07875
2004,"Gary Sheffield",684,"NYY",3.8,89,73,0.0426966292134831
2008,"Nick Markakis",697,"BAL",6.1,73,88,0.0835616438356164
2021,"Paul Goldschmidt",679,"STL",4.8,85,77,0.0564705882352941
2021,"DJ LeMahieu",679,"NYY",2.1,86,76,0.0244186046511628
2001,"Carlos Beltrán",680,"KCR",5.4,69,93,0.0782608695652174
2023,"George Springer",683,"TOR",1.8,89,73,0.0202247191011236
2017,"José Bautista",686,"TOR",-0.9,72,90,-0.0125
2007,"Aaron Rowand",684,"PHI",5.4,87,75,0.0620689655172414
2007,"Garrett Atkins",684,"COL",2.1,91,72,0.0230769230769231
2006,"Orlando Cabrera",675,"LAA",2.7,84,78,0.0321428571428571
2004,"Todd Helton",683,"COL",7,73,89,0.0958904109589041
2021,"Jose Altuve",678,"HOU",5.3,101,61,0.0524752475247525
2018,"César Hernández",708,"PHI",2.2,76,86,0.0289473684210526
2005,"Brandon Inge",694,"DET",3.2,75,87,0.0426666666666667
2005,"Eric Chavez",694,"OAK",5.2,93,69,0.0559139784946237
2016,"Edwin Encarnación",702,"TOR",3.6,91,71,0.0395604395604396
2001,"John Olerud",679,"SEA",4.6,109,53,0.0422018348623853
2023,"Brandon Nimmo",682,"NYM",4.2,80,82,0.0525
2023,"Lane Thomas",682,"WSN",3.2,67,95,0.0477611940298507
2023,"Vladimir Guerrero Jr.",682,"TOR",1.3,89,73,0.0146067415730337
2006,"Alex Rodriguez",674,"NYY",3.8,95,67,0.04
2003,"Albert Pujols",685,"STL",9.5,88,74,0.107954545454545
2021,"Isiah Kiner-Falefa",677,"TEX",1.6,62,100,0.0258064516129032
2018,"Freddie Freeman",707,"ATL",4.6,92,70,0.05
2018,"Whit Merrifield",707,"KCR",5,62,100,0.0806451612903226
2010,"Prince Fielder",714,"MIL",2.7,76,86,0.0355263157894737
2012,"José Reyes",716,"MIA",3.8,68,94,0.0558823529411765
2007,"Todd Helton",682,"COL",4.2,91,72,0.0461538461538462
2007,"Troy Tulowitzki",682,"COL",5.2,91,72,0.0571428571428571
2008,"Prince Fielder",694,"MIL",1.3,87,75,0.0149425287356322
2009,"Shane Victorino",694,"PHI",3.4,92,70,0.0369565217391304
2009,"Ryan Zimmerman",694,"WSN",6.6,66,96,0.1
2006,"Edgar Renteria",673,"ATL",3.6,85,77,0.0423529411764706
2004,"Adam Dunn",681,"CIN",5.3,67,95,0.0791044776119403
2004,"Geoff Jenkins",681,"MIL",2.5,68,93,0.0367647058823529
2003,"Rocco Baldelli",684,"TBR",1.8,68,94,0.0264705882352941
2005,"Edgar Renteria",692,"BOS",1.8,90,72,0.02
2016,"Josh Donaldson",700,"TOR",6.8,91,71,0.0747252747252747
2001,"Chipper Jones",677,"ATL",6.1,90,72,0.0677777777777778
2001,"Roberto Alomar",677,"CLE",6.6,88,74,0.075
2002,"Rafael Furcal",693,"ATL",2.7,96,64,0.028125
2002,"Nomar Garciaparra",693,"BOS",4.8,100,62,0.048
2022,"Freddie Freeman",708,"LAD",6.8,116,46,0.0586206896551724
2022,"Trea Turner",708,"LAD",6.4,116,46,0.0551724137931035
2007,"Delmon Young",681,"TBR",-0.2,67,95,-0.00298507462686567
2007,"Prince Fielder",681,"MIL",4.7,83,79,0.0566265060240964
2008,"Hanley Ramirez",693,"MIA",7.4,81,80,0.091358024691358
2009,"Jacoby Ellsbury",693,"BOS",2.1,93,69,0.0225806451612903
2006,"Nick Swisher",672,"OAK",3.9,85,77,0.0458823529411765
2004,"Matt Lawton",680,"CLE",0.6,81,81,0.00740740740740741
2004,"Vladimir Guerrero",680,"LAA",5.9,91,71,0.0648351648351648
2004,"Hideki Matsui",680,"NYY",3,89,73,0.0337078651685393
2021,"Cedric Mullins",675,"BAL",6,54,108,0.111111111111111
2018,"Giancarlo Stanton",705,"NYY",3.7,99,63,0.0373737373737374
2018,"Nick Markakis",705,"ATL",2.6,92,70,0.0282608695652174
2018,"Alex Bregman",705,"HOU",7.9,109,53,0.0724770642201835
2005,"Derrek Lee",691,"CHC",7,80,82,0.0875
2016,"Kris Bryant",699,"CHC",7.5,107,54,0.0700934579439252
2010,"Mark Teixeira",712,"NYY",3.5,97,65,0.0360824742268041
2001,"Albert Pujols",676,"STL",7.2,94,68,0.0765957446808511
2002,"Lance Berkman",692,"HOU",6.1,87,75,0.0701149425287356
2002,"Fernando Vina",692,"STL",0.5,95,67,0.00526315789473684
2017,"DJ LeMahieu",682,"COL",3.4,87,75,0.0390804597701149
2017,"Brett Gardner",682,"NYY",3.8,100,62,0.038
2024,"Vladimir Guerrero Jr.",697,"TOR",5.5,73,89,0.0753424657534247
2019,"Matt Chapman",670,"OAK",5.5,97,65,0.0567010309278351
2007,"Miguel Cabrera",680,"MIA",5,72,90,0.0694444444444444
2006,"Johnny Damon",671,"NYY",3.6,95,67,0.0378947368421053
2004,"Jeff Bagwell",679,"HOU",3.6,91,71,0.0395604395604396
2003,"Jay Gibbons",682,"BAL",0.9,74,88,0.0121621621621622
2021,"Jonathan Schoop",674,"DET",2.2,75,87,0.0293333333333333
2012,"J.J. Hardy",713,"BAL",2.4,82,80,0.0292682926829268
2016,"Dustin Pedroia",698,"BOS",3.9,98,64,0.0397959183673469
2005,"Julio Lugo",690,"TBR",4.6,65,97,0.0707692307692308
2005,"Raul Ibanez",690,"SEA",2.1,76,86,0.0276315789473684
2002,"Jeff Bagwell",691,"HOU",4.8,87,75,0.0551724137931034
2022,"Francisco Lindor",706,"NYM",6.4,99,63,0.0646464646464646
2022,"Vladimir Guerrero Jr.",706,"TOR",3.3,91,71,0.0362637362637363
2023,"Teoscar Hernández",678,"SEA",1.9,91,71,0.0208791208791209
2024,"Elly De La Cruz",696,"CIN",6.4,82,80,0.0780487804878049
2007,"Magglio Ordonez",679,"DET",8,89,73,0.0898876404494382
2007,"Albert Pujols",679,"STL",7.7,71,91,0.108450704225352
2018,"Marcus Semien",703,"OAK",2.9,95,67,0.0305263157894737
2021,"Matt Olson",673,"OAK",5,87,75,0.0574712643678161
2005,"Rafael Furcal",689,"ATL",4.5,91,71,0.0494505494505494
2001,"Doug Glanville",674,"PHI",2,84,78,0.0238095238095238
2001,"Brian Giles",674,"PIT",5.5,62,100,0.0887096774193548
2011,"Ian Kinsler",723,"TEX",7.3,98,64,0.0744897959183674
2017,"Nolan Arenado",680,"COL",5.8,87,75,0.0666666666666667
2000,"Edgardo Alfonzo",650,"NYM",6.4,88,74,0.0727272727272727
2024,"Pete Alonso",695,"NYM",2.1,88,74,0.0238636363636364
2024,"Ezequiel Tovar",695,"COL",3.7,59,103,0.0627118644067797
2006,"Andruw Jones",669,"ATL",6,85,77,0.0705882352941176
2012,"Elvis Andrus",711,"TEX",3.7,91,71,0.0406593406593407
2010,"Nick Markakis",709,"BAL",2.4,63,99,0.0380952380952381
2016,"Nolan Arenado",696,"COL",6,80,82,0.075
2016,"Manny Machado",696,"BAL",5.7,84,78,0.0678571428571429
2005,"Johnny Damon",688,"BOS",2.7,90,72,0.03
2005,"Carlos Lee",688,"MIL",1.8,84,78,0.0214285714285714
2002,"Jason Giambi",689,"NYY",6.6,99,62,0.0666666666666667
2017,"Marcell Ozuna",679,"MIA",5.7,77,85,0.074025974025974
2000,"Jay Bell",649,"ARI",1.3,85,77,0.0152941176470588
2019,"Eric Hosmer",667,"SDP",-0.9,70,92,-0.0128571428571429
2019,"César Hernández",667,"PHI",1.7,79,83,0.0215189873417722
2006,"Luis Gonzalez",668,"ARI",0.9,80,82,0.01125
2003,"Luis Gonzalez",679,"ARI",3.8,84,78,0.0452380952380952
2003,"Manny Ramirez",679,"BOS",5.8,94,68,0.0617021276595745
2021,"Robbie Grossman",671,"DET",2.5,75,87,0.0333333333333333
2016,"José Abreu",695,"CHW",2.2,78,84,0.0282051282051282
2005,"Carl Crawford",687,"TBR",4.8,65,97,0.0738461538461538
2011,"Ichiro Suzuki",721,"SEA",0,67,95,0
2002,"Derrek Lee",688,"MIA",3.5,75,87,0.0466666666666667
2001,"Eric Young Sr.",672,"CHC",1.3,89,73,0.0146067415730337
2001,"Jason Kendall",672,"PIT",0.3,62,100,0.00483870967741936
2017,"Aaron Judge",678,"NYY",8.7,100,62,0.087
2000,"Jose Valentin",648,"CHW",4.5,92,70,0.0489130434782609
2007,"Curtis Granderson",676,"DET",7.9,89,73,0.0887640449438202
2004,"Moises Alou",675,"CHC",5.9,94,68,0.0627659574468085
2006,"Matt Holliday",667,"COL",3.5,81,81,0.0432098765432099
2003,"Gary Sheffield",678,"ATL",7.3,96,66,0.0760416666666667
2016,"Jean Segura",694,"ARI",6.1,69,93,0.0884057971014493
2021,"Kyle Seager",670,"SEA",2.3,76,86,0.0302631578947368
2001,"Magglio Ordonez",671,"CHW",3.6,81,81,0.0444444444444444
2001,"Vladimir Guerrero",671,"WSN",4.8,67,95,0.0716417910447761
2001,"Jason Giambi",671,"OAK",9.2,104,58,0.0884615384615385
2023,"Kyle Tucker",674,"HOU",5,93,69,0.0537634408602151
2017,"Evan Longoria",677,"TBR",2.4,80,82,0.03
2024,"Kyle Schwarber",692,"PHI",3.4,92,70,0.0369565217391304
2024,"Bryan Reynolds",692,"PIT",2.1,73,89,0.0287671232876712
2008,"Alex Rios",687,"TOR",5.5,93,69,0.0591397849462366
2008,"Jose Lopez",687,"SEA",2.2,67,95,0.0328358208955224
2009,"Chase Utley",687,"PHI",8.2,92,70,0.0891304347826087
2016,"Freddie Freeman",693,"ATL",6.4,67,94,0.0955223880597015
2005,"Miguel Cabrera",685,"MIA",5.1,79,83,0.0645569620253165
2011,"Joey Votto",719,"CIN",6.4,83,79,0.0771084337349398
2008,"Carlos Delgado",686,"NYM",2.4,89,73,0.0269662921348315
2007,"Austin Kearns",674,"WSN",3.4,70,92,0.0485714285714286
2018,"José Ramírez",698,"CLE",7.6,98,64,0.0775510204081633
2019,"Paul DeJong",664,"STL",3.4,92,70,0.0369565217391304
2004,"Mark Kotsay",673,"OAK",4,86,76,0.0465116279069767
2010,"Denard Span",705,"MIN",2.6,92,70,0.0282608695652174
2003,"Luis Castillo",676,"MIA",4.9,87,75,0.0563218390804598
2006,"Vladimir Guerrero",665,"LAA",3.5,84,78,0.0416666666666667
2002,"Aaron Boone",685,"CIN",2.8,75,87,0.0373333333333333
2002,"Shawn Green",685,"LAD",4.9,89,73,0.0550561797752809
2002,"Bobby Abreu",685,"PHI",5.2,79,82,0.0658227848101266
2023,"Gleyber Torres",672,"NYY",3.6,78,84,0.0461538461538462
2017,"Jonathan Schoop",675,"BAL",4.5,72,90,0.0625
2017,"José Abreu",675,"CHW",4.4,70,92,0.0628571428571429
2008,"Jorge Cantu",685,"MIA",2.6,81,80,0.0320987654320988
2008,"Nate McLouth",685,"PIT",3.8,67,95,0.0567164179104478
2009,"Miguel Cabrera",685,"DET",5,81,82,0.0617283950617284
2009,"Shin-Soo Choo",685,"CLE",5.1,73,89,0.0698630136986301
2009,"Andre Ethier",685,"LAD",2.2,99,63,0.0222222222222222
2004,"Carl Crawford",672,"TBR",5.1,68,93,0.075
2016,"Brian Dozier",691,"MIN",6.6,66,96,0.1
2022,"Matt Olson",699,"ATL",3.1,100,62,0.031
2015,"Manny Machado",713,"BAL",6.6,83,79,0.0795180722891566
2002,"Pat Burrell",684,"PHI",4.4,79,82,0.0556962025316456
2023,"Nick Castellanos",671,"PHI",1.3,89,73,0.0146067415730337
2024,"Francisco Lindor",689,"NYM",7.8,88,74,0.0886363636363636
2024,"Anthony Volpe",689,"NYY",3.4,96,66,0.0354166666666667
2008,"Bobby Abreu",684,"NYY",1.6,87,75,0.0183908045977011
2008,"Miguel Cabrera",684,"DET",2.6,78,84,0.0333333333333333
2009,"Vernon Wells",684,"TOR",-0.1,84,78,-0.00119047619047619
2018,"Charlie Blackmon",696,"COL",2.5,85,78,0.0294117647058824
2000,"Richard Hidalgo",644,"HOU",7.3,81,81,0.0901234567901235
2004,"Mike Lowell",671,"MIA",4,83,79,0.0481927710843374
2004,"Shawn Green",671,"LAD",2.2,89,73,0.0247191011235955
2019,"Nolan Arenado",662,"COL",6.1,71,91,0.0859154929577465
2019,"Eugenio Suárez",662,"CIN",4.3,80,82,0.05375
2003,"Magglio Ordonez",674,"CHW",4.6,88,74,0.0522727272727273
2011,"Nick Markakis",716,"BAL",1.5,67,95,0.0223880597014925
2006,"Richie Sexson",663,"SEA",2.4,78,84,0.0307692307692308
2005,"Alfonso Soriano",682,"TEX",2.4,82,80,0.0292682926829268
2001,"Richie Sexson",667,"MIL",2.9,75,87,0.0386666666666667
2024,"Marcell Ozuna",688,"ATL",4.7,92,70,0.0510869565217391
2024,"Willy Adames",688,"MIL",4.8,95,67,0.0505263157894737
2018,"Bryce Harper",695,"WSN",3.2,90,72,0.0355555555555556
2010,"Chone Figgins",702,"SEA",1.3,59,103,0.0220338983050847
2007,"Felipe Lopez",671,"WSN",-0.2,70,92,-0.00285714285714286
2011,"Adrián González",715,"BOS",6.1,94,68,0.0648936170212766
2011,"Starlin Castro",715,"CHC",2.7,70,92,0.0385714285714286
2000,"Delino DeShields",643,"BAL",2.5,71,91,0.0352112676056338
2000,"Mike Cameron",643,"SEA",3.6,92,70,0.0391304347826087
2000,"Jim Edmonds",643,"STL",6.5,91,71,0.0714285714285714
2000,"Edgar Renteria",643,"STL",2,91,71,0.021978021978022
2019,"Manny Machado",661,"SDP",2.5,70,92,0.0357142857142857
2003,"Garret Anderson",673,"LAA",5.1,80,82,0.06375
2006,"Chad Tracy",662,"ARI",1.8,80,82,0.0225
2015,"Josh Donaldson",711,"TOR",8.7,102,60,0.0852941176470588
2022,"Bo Bichette",697,"TOR",4.8,91,71,0.0527472527472527
2021,"Salvador Perez",665,"KCR",2.7,71,91,0.0380281690140845
2021,"David Fletcher",665,"LAA",0.8,73,89,0.010958904109589
2002,"Tony Batista",682,"BAL",0.9,70,92,0.0128571428571429
2002,"Jeff Kent",682,"SFG",6.7,98,63,0.0683673469387755
2012,"Michael Bourn",703,"ATL",5.3,92,70,0.0576086956521739
